#velocity cluster boundaries picked based on votes >=3: crustal depth 10-50 km
> outline-1
-163.323 68.1339
-162.355 68.2679
-160.984 68.4018
-159.371 68.4464
-157.516 68.5804
-156.145 68.5804
-154.532 68.625
-153.081 68.625
-151.71 68.7589
-149.694 68.9821
-148.403 69.2946
-147.274 69.5625
-145.984 69.5625
-143.968 69.4732
-142.839 69.6518
-142.839 69.6518
> outline-2
-164.452 67.1071
-163.161 67.0625
-162.113 67.0625
-161.065 66.9732
-159.935 66.9732
-158.968 67.0625
-158.081 67.1071
-156.952 66.9286
-155.823 66.8393
-154.532 66.75
-152.677 66.7054
-151.065 66.8839
-149.452 67.0625
-148.242 67.2411
-146.79 67.4196
-145.742 67.6429
-144.694 67.6875
-143.484 68
-142.435 68.2679
-141.387 68.4464
-140.581 68.6696
-139.532 68.7589
-138.403 68.8929
-138.161 68.8929
> outline-3
-155.823 65.4107
-154.452 65.5893
-152.194 65.6786
-150.823 65.7679
-149.048 66.0357
-147.516 66.0804
-146.226 66.0804
-144.532 66.1696
-143.081 66.3036
-141.387 66.5268
-140.258 66.9286
-139.129 67.2857
-138 67.5536
-138 67.5536
> outline-4
-147.032 65.8571
-146.468 65.4107
-145.984 65.0982
-145.581 64.875
-145.339 64.3839
-145.177 63.9821
-145.742 63.5357
> outline-5
-156.79 58.1339
-156.226 58.7143
-155.339 59.25
-154.935 59.875
-154.21 60.4554
-154.21 61.0804
-153.968 61.75
-153.565 62.2857
-152.597 62.6875
-151.468 63.0893
-150.339 63.4911
-149.129 63.8036
-148.081 64.0268
-146.952 64.1607
-145.903 64.2054
-145.903 64.2054
> outline-6
-150.903 62.3304
-150.177 62.7768
-148.887 63.2679
-147.839 63.5804
-146.629 63.625
-145.419 63.4911
-144.29 63.2232
-143.081 62.9554
-142.032 62.6875
-140.742 62.4196
-139.855 62.1518
-139.048 61.8839
-138.161 61.5714
-137.355 61.2589
-136.306 60.8571
-135.903 60.6786
> outline-7
-150.5 59.2946
-149.855 59.6518
-148.726 60.1429
-147.677 60.5446
-146.468 60.8571
-145.258 60.9911
-143.968 60.8125
-143 60.4107
-141.79 60.2321
-140.581 60.1429
-139.21 59.9643
-138.161 59.7857
-137.435 59.6071
-136.468 59.3839
-136.468 59.3839
> outline-8
-139.048 67.0179
-139.371 66.3482
-139.21 65.5
-139.048 64.7411
-138.645 64.2054
-138.161 63.4464
-137.355 62.9107
-136.629 62.4196
-136.629 62.4196
