#velocity cluster boundaries picked based on votes >=3: mantle depth 40-120 km
> outline-1
-165.016 67.7321
-164.452 67.7321
-163.565 67.7321
-162.758 67.6875
-162.113 67.5982
-160.984 67.5089
-160.097 67.4643
-159.371 67.5089
-158.726 67.5982
-157.597 67.6875
-156.871 67.9107
-156.145 68.2679
-155.984 68.3571
> outline-2
-164.855 67.7768
-164.532 67.6429
-163.968 67.5536
-163.242 67.4196
-161.548 67.2411
-160.823 67.1071
-159.855 66.9732
-159.048 66.8393
-158.161 66.75
-157.597 66.7054
-156.952 66.5714
-156.629 66.5714
> outline-3
-165.742 67.0179
-164.935 67.1071
-163.968 67.1071
-162.113 66.8839
-161.468 66.75
-160.742 66.5268
-160.419 66.1696
-159.855 65.9911
-159.29 65.8571
-158.726 65.8125
-158.403 65.7679
> outline-4
-155.984 68.3571
-156.306 68.1339
-156.71 67.6875
-157.113 67.3304
-157.516 66.8839
-157.919 66.5268
-158.242 66.125
-158.403 65.8571
-158.565 65.5446
-158.806 65.2768
-158.806 65.2768
> outline-5
-154.935 67.6875
-154.371 67.5536
-153.484 67.4643
-152.677 67.4196
-152.113 67.5089
-151.306 67.7321
-150.419 68.0893
-149.694 68.4464
-149.048 68.8036
-148.403 68.9375
-147.758 69.0268
-146.71 68.9821
-145.661 68.9821
-144.774 68.9821
-144.29 69.0268
-143.645 69.0714
-142.839 69.0714
-141.79 69.1161
-140.823 69.1607
-140.661 69.2054
> outline-6
-153.242 66.4821
-152.274 66.8839
-150.903 67.3304
-150.097 67.6875
-149.29 67.8661
-148.484 68.0446
-147.597 68.1786
-146.629 68.3571
-145.581 68.3125
-144.694 68.3571
-143.887 68.4464
-142.919 68.4464
-142.032 68.4911
-141.145 68.5357
-140.419 68.4018
-140.097 68.1339
-139.855 67.8661
-139.694 67.5536
-139.21 67.2411
-138.887 67.1518
> outline-7
-153 66.2589
-152.919 65.7679
-152.758 65.4554
-152.677 64.9643
-152.677 64.4732
-152.758 64.0268
-153 63.3571
-152.839 62.8214
-152.839 62.4196
-153.081 61.8393
-153.323 61.2143
-153.645 60.7232
-153.887 60.3661
-154.371 59.875
-154.855 59.4286
-155.419 58.9821
-155.984 58.6696
-156.226 58.625
> outline-8
-151.79 64.3393
-151.145 64.5179
-150.097 64.7411
-149.129 64.9643
-148.403 65.1429
-147.516 65.3214
-146.871 65.5
-146.226 65.6786
-145.419 65.9018
-144.855 66.0357
-144.048 66.1696
-143.323 66.3036
-142.677 66.4375
-142.274 66.5268
-141.548 66.7054
-141.548 66.7054
> outline-9
-141.145 67.2411
-141.468 66.9732
-141.548 66.3929
-141.71 65.9464
-141.548 65.5
-141.145 65.0089
-140.742 64.6964
-140.177 64.3839
-139.21 64.1607
-138.403 63.9375
-137.919 63.7589
-137.274 63.7143
-136.548 63.8036
-136.065 63.9821
> outline-10
-152.194 63.4018
-151.468 63.4018
-150.903 63.3571
-150.419 63.2679
-150.177 63
-149.29 63.0893
-148.806 63.2679
-148.161 63.4018
-147.839 63.4911
-147.113 63.4464
-146.79 63.4464
-146.468 63.1786
-145.903 63.0446
-145.016 63.2232
-144.774 63.625
-144.532 63.8929
-143.726 63.9375
-142.919 63.8036
-142.113 63.8036
-141.387 63.7143
-140.339 63.7589
-139.774 63.6696
-139.048 63.6696
-138.484 63.5804
-137.839 63.4911
-137.274 63.3571
-137.032 63.2232
> outline-11
-145.5 63
-144.532 62.8214
-143.968 62.5536
-143.081 62.4196
-142.274 62.2857
-141.468 62.1518
-140.419 61.8839
-139.613 61.6607
-138.887 61.4375
-138.161 61.125
> outline-12
-151.952 59.5625
-151.387 59.8304
-150.419 60.3214
-149.694 60.8125
-148.887 61.125
-148.242 61.4821
-147.597 61.7054
-147.274 61.8839
-146.79 61.9286
-146.065 61.7946
-145.5 61.6607
-145.016 61.5268
-144.613 61.4821
-143.806 61.3482
-143 61.0804
-142.274 60.8125
-141.306 60.6339
-140.5 60.4107
-139.694 60.2768
-138.726 60.0089
-138.484 59.9196
