> outline-1
-166.311 68.3649
-166.257 68.6852
-166.204 68.9181
-165.034 68.889
-163.969 69.1219
-162.958 69.5295
-162.107 70.2283
-160.777 70.4321
-159.659 70.6941
-158.489 70.8688
-157.318 70.9852
-156.839 71.2473
-156.254 71.2473
-155.828 71.1891
-155.722 70.8979
-154.764 71.0726
-154.285 70.9561
-153.806 70.9852
-152.795 70.8979
-151.625 70.5776
-150.561 70.5194
-148.645 70.4321
-147.687 70.3447
-146.144 70.1991
-145.08 70.1118
-144.229 70.0536
-143.484 70.0536
-143.803 69.7042
-144.282 69.6751
-145.612 69.6168
-146.251 69.7042
-147.687 69.646
-148.539 69.8207
-148.752 69.5004
-149.124 69.2675
-150.188 69.0345
-151.785 68.7725
-153.221 68.8307
-153.753 68.8016
-154.339 68.8599
-155.296 68.8599
-156.68 68.7143
-157.85 68.7143
-158.808 68.8016
-159.713 68.6852
-161.203 68.4814
-162.107 68.4814
-162.533 68.3358
-163.118 68.2193
-164.342 68.1029
-164.98 68.0446
-165.619 68.1611
-165.938 68.2484
-166.417 68.3358
-166.311 68.3358
> outline-2
-164.043 67.0654
-163.238 66.9774
-162.004 67.1826
-161.307 67.2413
-159.805 67.2706
-158.463 67.2413
-157.444 67.1533
-156.693 67.124
-155.942 66.9481
-154.386 66.8895
-153.259 66.9188
-151.65 67.0067
-150.308 67.2413
-148.431 67.4171
-146.177 67.593
-144.675 67.7396
-143.709 68.0914
-142.743 68.3845
-141.831 68.6776
-140.436 68.9122
-139.739 69.088
-139.954 69.3226
-140.436 69.4984
-142.207 69.5864
-143.173 69.5278
-144.031 69.3226
-144.997 69.4398
-146.124 69.4105
-147.679 69.4105
-148.431 69.2053
-149.504 68.8828
-150.201 68.6776
-151.703 68.5018
-152.401 68.4724
-153.313 68.4138
-154.922 68.4431
-156.425 68.3845
-158.463 68.3845
-159.644 68.3552
-162.112 68.2379
-163.346 68.0034
-164.311 67.8568
-164.848 67.593
-164.204 67.3292
> outline-3
-156.744 66.6403
-157.499 66.3971
-158.002 66.1269
-157.7 65.7486
-157.247 65.5324
-156.493 65.5324
-155.788 65.5865
-154.833 65.6675
-153.877 65.8026
-152.971 65.8567
-151.915 65.8567
-151.513 65.7756
-150.808 66.0188
-150.305 66.0729
-149.5 66.1539
-148.343 66.289
-146.985 66.235
-146.13 66.208
-145.275 66.1539
-143.715 66.289
-142.709 66.3971
-141.653 66.6403
-141.099 66.7214
-140.093 67.0186
-138.936 67.451
-138.534 67.6402
-137.981 67.9644
-137.679 68.1806
-137.327 68.4508
-137.025 68.8291
