#major velocity domains based on cluster boundaries with votes >=3: mantle depth 40-120 km
> outline-1
-165.016 67.9554
-164.452 67.9554
-163.887 67.9107
-162.839 67.8214
-161.306 67.7321
-159.613 67.6875
-159.048 67.7321
-158.726 67.7768
-157.919 67.8661
-157.597 67.9554
-157.355 68.0446
-156.871 68.2679
-156.629 68.4018
-156.226 68.5804
-155.823 68.4911
-155.177 68.3571
-154.774 68.0446
-154.129 67.9107
-153.484 67.9107
-152.677 67.8661
-152.113 68
-151.871 68.0893
-151.387 68.2679
-150.581 68.5804
-149.774 68.7589
-149.29 69.0268
-148.645 69.1161
-148.242 69.2054
-147.274 69.2946
-146.468 69.3393
-145.823 69.3393
-144.694 69.4286
-143.323 69.4286
-142.355 69.3839
-141.629 69.3393
-140.742 69.3839
-140.823 69.5625
-141.79 69.8304
-142.435 69.9643
-142.919 70.0982
-143.645 70.0982
-144.452 70.0536
-144.935 70.0982
-146.387 70.1875
-147.113 70.2321
-147.677 70.3214
-148.887 70.4554
-149.694 70.5446
-150.5 70.5446
-151.306 70.5446
-152.677 70.6786
-152.435 70.9018
-152.919 70.9018
-153.726 70.9018
-154.855 70.9911
-155.419 71.125
-156.306 71.2143
-157.032 71.125
-157.758 70.9911
-158.242 70.9018
-158.968 70.8571
-159.532 70.7232
-160.339 70.5893
-161.226 70.4107
-161.952 70.2321
-162.516 70.0089
-162.839 69.7411
-163.565 69.2946
-164.532 69.0714
-165.661 68.9821
-166.065 68.625
-165.823 68.2679
-165.177 67.9554
> outline-2
-161.629 66.7946
-162.274 66.7054
-163.645 66.6607
-165.097 66.4375
-166.145 66.3482
-166.79 66.0357
-167.194 65.6339
-166.145 64.875
-165.419 64.6518
-164.694 64.7411
-163.806 64.6964
-162.919 64.7411
-161.871 64.6964
-161.306 64.6964
-161.145 64.4286
-161.226 63.9821
-161.71 63.7589
-162.355 63.4911
-163.484 63.1786
-163.806 63
-164.452 62.5982
-163.242 62.0625
-161.145 60.5
-158.081 59.4732
-157.435 59.5179
-156.065 59.6964
-155.5 60.0089
-155.097 60.4554
-154.613 60.9018
-154.29 61.4821
-153.968 62.4196
-153.887 63
-153.645 64.1161
-153.484 64.4732
-153.323 65.0089
-153.403 65.5446
-153.645 65.9018
-154.129 66.3036
-154.613 66.7054
-155.5 67.0179
-155.903 67.4643
-156.145 67.1071
-156.226 66.3482
-156.79 66.125
-157.758 65.6339
-158.806 65.6339
-160.097 65.7232
-160.984 66.1696
-162.032 66.75
-162.194 66.7946
> outline-3
-151.871 66.5268
-151.226 66.75
-150.5 67.1964
-149.532 67.4643
-148.565 67.7321
-147.113 67.9107
-145.661 68
-144.371 68.0893
-143.161 68.2679
-141.71 68.3125
-140.903 68
-140.581 67.7321
-140.581 67.5536
-143 66.5714
-144.048 66.4375
-144.532 66.3036
-145.339 66.1696
-146.065 66.0357
-147.032 65.9018
-147.677 65.7232
-148.403 65.5446
-148.806 65.4107
-149.21 65.2768
-149.855 65.0982
-150.581 64.9643
-151.145 64.875
-151.468 64.6964
-151.79 65.1875
-151.952 65.3661
-152.032 65.6786
-152.194 65.9464
-152.435 66.125
-152.516 66.2589
-151.79 66.4821
-151.387 66.6607
> outline-4
-151.387 64.5625
-150.581 64.6964
-147.919 65.4107
-146.629 65.6339
-145.097 66.0357
-143 66.3036
-142.355 66.4821
-142.516 65.7679
-142.194 65.2321
-141.71 64.7857
-141.065 64.5625
-140.339 64.2054
-139.613 63.9821
-138.726 63.6696
-138.081 63.4911
-139.452 63.5804
-140.339 63.625
-140.984 63.8036
-141.71 63.8482
-142.355 63.9375
-143.081 63.9821
-143.565 63.9375
-144.21 63.8929
-144.694 63.8482
-144.855 63.4018
-145.419 63.0446
-146.065 63.0446
-146.629 63.2232
-147.194 63.5357
-147.677 63.6696
-148.242 63.4018
-148.484 63.2232
-148.887 63.1339
-149.532 63.0446
-150.016 63.1339
-149.935 63.4018
-150.339 63.4911
-150.823 63.5357
-151.387 63.4911
-152.113 63.4018
-151.468 64.6964
> outline-5
-151.871 63.1339
-151.952 62.7768
-152.032 62.375
-152.355 61.5714
-152.516 61.2143
-152.758 60.5893
-153 60.2768
-152.355 59.9643
-152.194 59.875
-151.952 59.7411
-151.387 59.5625
-151.145 59.9196
-150.581 60.2768
-149.935 60.6786
-149.774 60.8125
-149.371 61.0357
-148.323 61.4375
-147.758 61.7054
-147.274 62.0625
-146.468 61.9732
-145.903 61.8839
-145.177 61.6607
-144.371 61.5268
-143.161 61.3036
-142.194 60.9911
-141.548 60.9018
-140.5 60.7232
-139.774 60.5446
-138.887 60.3214
-138.323 60.5
-138.887 60.9464
-139.613 61.3036
-140.419 61.7054
-141.306 61.8839
-142.758 62.1518
-144.048 62.375
-145.016 62.4643
-146.306 62.7321
-147.194 63.1339
-147.597 63.4464
-148.081 63.1786
-148.565 62.9554
-148.968 62.7768
-149.532 62.6429
-150.177 62.5982
-150.177 62.9554
-150.419 63.1339
-150.742 63.1339
-151.065 63.1339
-151.629 62.9107
-152.032 62.8214
-152.032 62.6875
> outline-6
-144.935 62.7768
-144.29 62.7321
-143.242 62.5536
-142.274 62.3304
-141.306 62.1071
-140.5 61.9286
-139.532 61.6161
-138.726 61.2589
-138.323 60.9018
-137.758 61.1696
-137.435 61.5714
-136.629 62.0179
-135.742 62.2857
-136.468 62.7768
-137.113 63.1786
-138.242 63.3571
-139.21 63.5357
-140.258 63.625
-140.984 63.625
-141.871 63.8036
-142.516 63.8036
-143.726 63.8482
-144.29 63.8036
-144.532 63.6696
-144.774 63.3571
-144.855 63.0446
-144.774 62.9107
